ndt|1|3|3.33333|2026-06-15 13:14:05
ndt|0|3|0|2026-06-15 13:14:43
ndt|1|3|3.33333|2026-06-15 13:15:06
ndt|1|2|5|2026-06-15 13:34:30
ndt|0|2|0|2026-06-15 13:34:52
ndt|2|3|6.66667|2026-06-15 13:43:01
ndt|0|2|0|2026-06-15 13:50:47
ndt|0|3|0|2026-06-15 13:52:41
ndt|0|1|0|2026-06-15 13:53:07
ndt|2|3|6.66667|2026-06-15 14:21:17
ndt|0|2|0|2026-06-15 14:22:22
ndt|0|2|0|2026-06-15 14:25:56
ndt|2|3|6.66667|2026-06-15 14:30:19
van|0|2|0|2026-06-16 22:29:20
ndt|1|3|3.33333|2026-06-16 23:08:49
ndt|0|2|0|2026-06-16 23:13:15
hunghochust|0|3|0|2026-06-16 23:35:06
ndt|1|3|3.33333|2026-06-17 12:08:54
ndt|0|2|0|2026-06-17 12:27:45
ndt|1|2|5|2026-06-17 12:28:30
